model,metric,precision,recall,f1-score,support
LogisticRegression,0,0.8564294631710362,0.884020618556701,0.87000634115409,776.0
LogisticRegression,1,0.6470588235294118,0.5892857142857143,0.616822429906542,280.0
LogisticRegression,accuracy,0.8058712121212122,0.8058712121212122,0.8058712121212122,0.8058712121212122
LogisticRegression,macro avg,0.751744143350224,0.7366531664212077,0.743414385530316,1056.0
LogisticRegression,weighted avg,0.8009145208418177,0.8058712121212122,0.802874243474816,1056.0
RandomForest,0,0.8396111786148238,0.8904639175257731,0.8642901813633521,776.0
RandomForest,1,0.6351931330472103,0.5285714285714286,0.5769980506822612,280.0
RandomForest,accuracy,0.7945075757575758,0.7945075757575758,0.7945075757575758,0.7945075757575758
RandomForest,macro avg,0.7374021558310171,0.7095176730486008,0.7206441160228066,1056.0
RandomForest,weighted avg,0.7854094241082596,0.7945075757575758,0.7881142376221537,1056.0
SVC,0,0.8530510585305106,0.8827319587628866,0.8676377454084864,776.0
SVC,1,0.6403162055335968,0.5785714285714286,0.6078799249530957,280.0
SVC,accuracy,0.8020833333333334,0.8020833333333334,0.8020833333333334,0.8020833333333334
SVC,macro avg,0.7466836320320537,0.7306516936671577,0.7377588351807911,1056.0
SVC,weighted avg,0.7966440899328441,0.8020833333333334,0.7987625657422844,1056.0
